listing_id,project_name,area,property_type,bedrooms,status,builder_name,builder_track_record,builder_delay_history,builder_handover_reliability,builder_legal_cleanliness,builder_construction_sentiment,price_base_cr,price_all_in_cr,water_backup,power_backup,security,parking,clubhouse,kid_senior_spaces,builder_risk_score,amenities_score,price_fit,builder_score,risk_adjusted_score,rank
L027,TerraceOne,Yelahanka,apartment,3,under_construction,Prestige,90,12,91,93,88,2.05,2.23,1,1,1,1,1,1,0.9,100.0,10.8,90.35,77.2475,1
L013,ElmAvenues,Yelahanka,apartment,3,under_construction,Sobha,92,10,94,94,89,2.18,2.39,1,1,1,1,1,1,0.88,100.0,4.399999999999995,92.14999999999999,75.91749999999999,2
L011,RunwayEnclave,Yelahanka,apartment,3,under_construction,Prestige,90,12,91,93,88,2.26,2.42,1,1,1,1,1,1,0.9,100.0,3.200000000000003,90.35,75.72749999999999,3
L001,NorthGateResidences,SahakaraNagar,apartment,3,under_construction,Prestige,90,12,91,93,88,2.28,2.46,1,1,1,1,1,1,0.9,100.0,1.6000000000000014,90.35,75.4075,4
L028,CanopyRows,SahakaraNagar,row_house,3,under_construction,Brigade,88,15,89,90,86,2.17,2.41,1,1,1,1,1,1,0.82,100.0,3.5999999999999943,88.15,73.2575,5
L002,CedarPark,SahakaraNagar,row_house,4,under_construction,Brigade,88,15,89,90,86,2.3,2.49,1,1,1,1,1,1,0.82,100.0,0.39999999999999153,88.15,72.6175,6
L020,NorthernArc,Yelahanka,apartment,3,under_construction,Godrej,87,14,88,89,85,2.22,2.47,1,1,1,1,1,1,0.68,100.0,1.1999999999999922,87.14999999999999,69.02749999999999,7
L016,AeroVista,Yelahanka,apartment,3,under_construction,Assetz,85,17,86,88,84,2.1,2.28,1,1,1,1,1,0,0.78,83.33333333333334,8.800000000000008,85.6,67.66000000000001,8
L014,GardenCraft,Yelahanka,apartment,3,under_construction,Goyal,83,18,84,85,80,1.92,2.08,1,1,1,1,0,1,0.72,83.33333333333334,16.799999999999997,82.9,67.08500000000001,9
L017,CityPortico,Yelahanka,apartment,3,under_construction,Puravankara,84,19,83,86,81,2.01,2.2,1,1,1,1,0,1,0.74,83.33333333333334,11.999999999999993,83.4,66.75,10
L007,OliveMews,SahakaraNagar,row_house,4,under_construction,Assetz,85,17,86,88,84,2.22,2.45,1,1,1,1,1,0,0.78,83.33333333333334,1.9999999999999927,85.6,66.30000000000001,11
L008,SkylineCourtyard,SahakaraNagar,apartment,3,under_construction,Puravankara,84,19,83,86,81,2.12,2.31,1,1,1,1,0,1,0.74,83.33333333333334,7.599999999999999,83.4,65.87,12
L004,MapleVista,SahakaraNagar,apartment,3,under_construction,Goyal,83,18,84,85,80,2.05,2.24,1,1,1,1,0,1,0.72,83.33333333333334,10.399999999999991,82.9,65.805,13
L021,JasmineBlocks,Yelahanka,apartment,3,under_construction,ShapoorjiPallonji,86,17,85,88,84,2.06,2.26,1,1,1,1,1,0,0.62,83.33333333333334,9.600000000000009,85.65,63.83250000000001,14
L009,CrownTerraces,SahakaraNagar,row_house,3,under_construction,Century,80,22,79,81,78,2.18,2.37,1,1,1,1,0,1,0.69,83.33333333333334,5.199999999999996,79.45,63.1525,15
L022,SaffronTerrace,Yelahanka,row_house,3,under_construction,Provident,78,24,77,79,75,2.14,2.34,1,1,1,1,0,1,0.66,83.33333333333334,6.400000000000006,77.2,62.080000000000005,16
L019,WoodlandSquare,Yelahanka,apartment,3,under_construction,KoltePatil,79,21,80,82,77,1.89,2.03,1,1,1,1,0,0,0.7,66.66666666666666,18.800000000000008,79.35000000000001,61.0975,17
L010,UrbanCanopy,SahakaraNagar,apartment,3,under_construction,KoltePatil,79,21,80,82,77,1.98,2.16,1,1,1,1,0,0,0.7,66.66666666666666,13.599999999999996,79.35000000000001,60.0575,18
