listing_id,project_name,area,travel_time_min,property_type,bedrooms,status,builder_name,source_type,price_all_in_cr,carpet_sqft,floor_type,rera_id,evidence_link_1,evidence_link_2,handover_year,approval_authority,dc_conversion_complete,water_plan,water_gate_pass,oc_status,rera_plan_alignment_verified,maintenance_per_sqft,unit_count,delivered_projects_blr,rera_resolution_rate,unresolved_rera_pattern_3y,active_consumer_nclt_case,max_delay_months,source_confidence,builder_pulse_good,builder_pulse_band,floor_risk_flag,maintenance_risk_flag,project_size_risk_flag,delay_risk_flag,strict_score,evidence_ok,evidence_fail_code,evidence_tier,evidence_checked_at_utc,rera_optional_registry_hit,krera_registry_url,krera_http_status,krera_fetch_error,excluded_reason,rank
C007,Century Ethos Annex,Hebbal,28,apartment,3,under_construction,Century Real Estate,builder_direct,2.5,1300,stilt,PRM/KA/RERA/1251/309/PR/170223/005742,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2029,BBMP,1,Cauvery+STP,1,na_uc,1,4.3,310,4,83,0,0,14,link_verified_official_krera,1,good,1,0,0,0,79.0,1,,official_krera,2026-04-23T20:20:43.681440+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,1
C001,Purva Zenium 2,SahakaraNagar,32,apartment,3,under_construction,Puravankara Limited,builder_direct,2.38,1231,mid,PRM/KA/RERA/1251/309/PR/071022/005303,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2027,BBMP,1,Cauvery+STP,1,na_uc,1,4.5,872,5,89,0,0,12,link_verified_official_krera,1,good,0,0,0,0,77.27,1,,official_krera,2026-04-23T20:20:43.410631+00:00,1,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,2
C006,Assetz Soho and Sky,Jakkur,35,apartment,3,under_construction,Assetz Property Group,builder_direct,2.28,1215,mid,PRM/KA/RERA/1251/309/PR/140323/005771,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2027,BBMP,1,Cauvery+STP,1,na_uc,1,4.4,360,3,84,0,0,12,link_verified_official_krera,1,good,0,0,0,0,76.41,1,,official_krera,2026-04-23T20:20:43.634478+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,3
C002,Prestige Camden Gardens,Thanisandra,36,apartment,3,under_construction,Prestige Group,builder_direct,2.45,1288,podium,PRM/KA/RERA/1251/309/PR/140524/006872,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2028,BBMP,1,Cauvery+STP,1,na_uc,1,4.8,640,7,91,0,0,10,link_verified_official_krera,1,good,1,0,0,0,75.28,1,,official_krera,2026-04-23T20:20:43.454402+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,4
C003,Sobha Athena,Thanisandra,38,apartment,3,under_construction,Sobha Limited,builder_direct,2.43,1270,mid,PRM/KA/RERA/1251/309/PR/300123/005672,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2027,BBMP,1,Cauvery+STP,1,na_uc,1,4.9,402,6,88,0,0,11,link_verified_official_krera,1,good,0,0,0,0,74.26,1,,official_krera,2026-04-23T20:20:43.498872+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,5
C008,Sattva Lumina,Hennur,40,apartment,3,under_construction,Sattva Group,builder_direct,2.35,1220,mid,PRM/KA/RERA/1251/309/PR/150923/005940,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2028,BBMP,1,Cauvery+STP,1,na_uc,1,4.2,420,5,85,0,0,12,link_verified_official_krera,1,good,0,0,0,0,73.4,1,,official_krera,2026-04-23T20:20:43.725825+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,6
C005,Godrej Reserve North,Yelahanka,44,apartment,3,under_construction,Godrej Properties,builder_direct,2.32,1242,mid,PRM/KA/RERA/1251/309/PR/230923/005954,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2028,BIAAPA,1,Cauvery+STP,1,na_uc,1,4.6,530,4,86,0,0,13,link_verified_official_krera,1,good,0,0,0,0,71.86,1,,official_krera,2026-04-23T20:20:43.587213+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,7
C009,Provident Ecopolitan,AirportRoad,50,apartment,3,under_construction,Provident Housing,builder_direct,1.98,1205,mid,PRM/KA/RERA/1251/309/PR/210623/005845,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2027,BIAAPA,1,Cauvery+STP,1,na_uc,1,3.9,900,3,82,0,0,15,link_verified_official_krera,1,good,0,0,0,0,71.21,1,,official_krera,2026-04-23T20:20:43.768399+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,8
C004,Brigade Insignia,Yelahanka,48,apartment,3,under_construction,Brigade Group,builder_direct,2.49,1295,mid,PRM/KA/RERA/1251/309/PR/160524/006894,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2029,BIAAPA,1,Cauvery+STP,1,na_uc,1,4.7,512,8,90,0,0,9,link_verified_official_krera,1,good,0,0,0,0,69.03,1,,official_krera,2026-04-23T20:20:43.542278+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,9
C010,Birla Trimaya,Devanahalli,58,row_house,3,under_construction,Birla Estates,builder_direct,2.4,1320,ground,PRM/KA/RERA/1250/303/PR/040823/005901,https://rera.karnataka.gov.in/viewAllProjects?language=en,,2030,BIAAPA,1,Cauvery+STP,1,na_uc,1,4.1,650,2,87,0,0,16,link_verified_official_krera,1,good,1,0,0,1,60.0,1,,official_krera,2026-04-23T20:20:43.811504+00:00,0,https://rera.karnataka.gov.in/viewAllProjects?language=en,200,,,10
